Quote,Author
"The best way to predict the future is to invent it.",Alan Kay
"Innovation distinguishes between a leader and a follower.",Steve Jobs
"Success is not final; failure is not fatal: it is the courage to continue that counts.",Winston Churchill
"The only way to do great work is to love what you do.",Steve Jobs
"Technology is best when it brings people together.",Matt Mullenweg
"Your most unhappy customers are your greatest source of learning.",Bill Gates
"Dream big and dare to fail.",Norman Vaughan
"Opportunities don't happen. You create them.",Chris Grosser
"An investment in knowledge pays the best interest.",Benjamin Franklin
"The future depends on what you do today.",Mahatma Gandhi
"Leadership is the capacity to translate vision into reality.",Warren Bennis
"Data is a precious thing and will last longer than the systems themselves.",Tim Berners-Lee
"Artificial intelligence is the new electricity.",Andrew Ng
"The science of today is the technology of tomorrow.",Edward Teller
"The important thing is not to stop questioning.",Albert Einstein
"Success usually comes to those who are too busy to be looking for it.",Henry David Thoreau
"The secret of getting ahead is getting started.",Mark Twain
"Quality is never an accident; it is always the result of intelligent effort.",John Ruskin
"Do not wait for opportunity. Create it.",George Bernard Shaw
"The journey of a thousand miles begins with one step.",Lao Tzu
